rank,word_fr,word_es
1,"Être (présent)","(Ser) soy, eres, es, somos, sois, son"
2,"Avoir (présent)","(Tener) tengo, tienes, tiene, tenemos, tenéis, tienen"
3,"Aller (présent)","(Ir) voy, vas, va, vamos, vais, van"
4,"Faire (présent)","(Hacer) hago, haces, hace, hacemos, hacéis, hacen"
5,"Dire (présent)","(Decir) digo, dices, dice, decimos, decís, dicen"
6,"Pomme","Manzana"
7,"Maison","Casa"
8,"Chien","Perro"
9,"Chat","Gato"
10,"Livre","Libro"
11,"Manger (présent)","(Comer) como, comes, come, comemos, coméis, comen"
12,"Boire (présent)","(Beber) bebo, bebes, bebe, bebemos, bebéis, beben"
13,"Dormir (présent)","(Dormir) duermo, duermes, duerme, dormimos, dormís, duermen"
14,"Parler (présent)","(Hablar) hablo, hablas, habla, hablamos, habláis, hablan"
15,"Écouter (présent)","(Escuchar) escucho, escuchas, escucha, escuchamos, escucháis, escuchan"
16,"Voiture","Coche"
17,"École","Escuela"
18,"Ami","Amigo"
19,"Famille","Familia"
20,"Travail","Trabajo"
21,"Lire (présent)","(Leer) leo, lees, lee, leemos, leéis, leen"
22,"Écrire (présent)","(Escribir) escribo, escribes, escribe, escribimos, escribís, escriben"
23,"Voir (présent)","(Ver) veo, ves, ve, vemos, veis, ven"
24,"Entendre (présent)","(Oír) oigo, oyes, oye, oímos, oís, oyen"
25,"Penser (présent)","(Pensar) pienso, piensas, piensa, pensamos, pensáis, piensan"
26,"Eau","Agua"
27,"Pain","Pan"
28,"Table","Mesa"
29,"Chaise","Silla"
30,"Porte","Puerta"
31,"Fenêtre","Ventana"
32,"Soleil","Sol"
33,"Lune","Luna"
34,"Étoile","Estrella"
35,"Ciel","Cielo"
36,"Terre","Tierra"
37,"Mer","Mar"
38,"Montagne","Montaña"
39,"Rivière","Río"
40,"Forêt","Bosque"
41,"Arbre","Árbol"
42,"Fleur","Flor"
43,"Oiseau","Pájaro"
44,"Poisson","Pez"
45,"Venir (présent)","(Venir) vengo, vienes, viene, venimos, venís, vienen"
46,"Partir (présent)","(Partir) parto, partes, parte, partimos, partís, parten"
47,"Rester (présent)","(Quedarse) me quedo, te quedas, se queda, nos quedamos, os quedáis, se quedan"
48,"Sortir (présent)","(Salir) salgo, sales, sale, salimos, salís, salen"
49,"Entrer (présent)","(Entrar) entro, entras, entra, entramos, entráis, entran"
50,"Monter (présent)","(Subir) subo, subes, sube, subimos, subís, suben"
51,"Descendre (présent)","(Bajar) bajo, bajas, baja, bajamos, bajáis, bajan"
52,"Commencer (présent)","(Comenzar) comienzo, comienzas, comienza, comenzamos, comenzáis, comienzan"
53,"Finir (présent)","(Terminar) termino, terminas, termina, terminamos, termináis, terminan"
54,"Ouvrir (présent)","(Abrir) abro, abres, abre, abrimos, abrís, abren"
55,"Fermer (présent)","(Cerrar) cierro, cierras, cierra, cerramos, cerráis, cierran"
56,"Acheter (présent)","(Comprar) compro, compras, compra, compramos, compráis, compran"
57,"Vendre (présent)","(Vender) vendo, vendes, vende, vendemos, vendéis, venden"
58,"Payer (présent)","(Pagar) pago, pagas, paga, pagamos, pagáis, pagan"
59,"Recevoir (présent)","(Recibir) recibo, recibes, recibe, recibimos, recibís, reciben"
60,"Donner (présent)","(Dar) doy, das, da, damos, dais, dan"
61,"Prendre (présent)","(Tomar) tomo, tomas, toma, tomamos, tomáis, toman"
62,"Mettre (présent)","(Poner) pongo, pones, pone, ponemos, ponéis, ponen"
63,"Enlever (présent)","(Quitar) quito, quitas, quita, quitamos, quitáis, quitan"
64,"Trouver (présent)","(Encontrar) encuentro, encuentras, encuentra, encontramos, encontráis, encuentran"
65,"Perdre (présent)","(Perder) pierdo, pierdes, pierde, perdemos, perdéis, pierden"
66,"Chercher (présent)","(Buscar) busco, buscas, busca, buscamos, buscáis, buscan"
67,"Demander (présent)","(Pedir) pido, pides, pide, pedimos, pedís, piden"
68,"Répondre (présent)","(Responder) respondo, respondes, responde, respondemos, respondéis, responden"
69,"Aimer (présent)","(Amar) amo, amas, ama, amamos, amáis, aman"
70,"Détester (présent)","(Odiar) odio, odias, odia, odiamos, odiáis, odian"
71,"Ville","Ciudad"
72,"Village","Pueblo"
73,"Rue","Calle"
74,"Place","Plaza"
75,"Parc","Parque"
76,"Jardin","Jardín"
77,"Magasin","Tienda"
78,"Marché","Mercado"
79,"Restaurant","Restaurante"
80,"Café","Café"
81,"Hôtel","Hotel"
82,"Hôpital","Hospital"
83,"Pharmacie","Farmacia"
84,"Bibliothèque","Biblioteca"
85,"Musée","Museo"
86,"Théâtre","Teatro"
87,"Cinéma","Cine"
88,"Gare","Estación"
89,"Aéroport","Aeropuerto"
90,"Plage","Playa"
91,"Montagne","Montaña"
92,"Lac","Lago"
93,"Île","Isla"
94,"Pays","País"
95,"Nation","Nación"
96,"Continent","Continente"
97,"Planète","Planeta"
98,"Univers","Universo"
99,"Temps","Tiempo"
100,"Heure","Hora"
101,"Avoir mangé (passé composé)","(Haber comido) he comido, has comido, ha comido, hemos comido, habéis comido, han comido"
102,"Être allé (passé composé)","(Haber ido) he ido, has ido, ha ido, hemos ido, habéis ido, han ido"
103,"Téléphone","Teléfono"
104,"J\'ai un chat","Tengo un gato"
105,"Tu as mangé une pomme","Has comido una manzana"
106,"Ordinateur","Ordenador"
107,"Internet","Internet"
108,"Avoir bu (passé composé)","(Haber bebido) he bebido, has bebido, ha bebido, hemos bebido, habéis bebido, han bebido"
109,"Il a bu de l\'eau","Ha bebido agua"
110,"Nous avons parlé espagnol","Hemos hablado español"
111,"Télévision","Televisión"
112,"Radio","Radio"
113,"Avoir dormi (passé composé)","(Haber dormido) he dormido, has dormido, ha dormido, hemos dormido, habéis dormido, han dormido"
114,"Elle a dormi huit heures","Ha dormido ocho horas"
115,"Vous avez écouté de la musique","Habéis escuchado música"
116,"Musique","Música"
117,"Chanson","Canción"
118,"Avoir parlé (passé composé)","(Haber hablado) he hablado, has hablado, ha hablado, hemos hablado, habéis hablado, han hablado"
119,"Ils ont parlé de leur voyage","Han hablado de su viaje"
120,"Nous avons acheté du pain","Hemos comprado pan"
121,"Voyage","Viaje"
122,"Vacances","Vacaciones"
123,"Avoir lu (passé composé)","(Leer) He leído, has leído, ha leído, hemos leído, habéis leído, han leído"
124,"J\'ai lu un bon livre","(Leer) He leído un buen libro"
125,"Tu as écrit une lettre","(Escribir) Has escrito una carta"
126,"Lettre","Carta"
127,"Email","Correo electrónico"
128,"Avoir écrit (passé composé)","(Escribir) He escrito, has escrito, ha escrito, hemos escrito, habéis escrito, han escrito"
129,"Il a écrit un message","(Escribir) Ha escrito un mensaje"
130,"Nous avons vu un film","(Ver) Hemos visto una película"
131,"Message","Mensaje"
132,"Film","Película"
133,"Avoir vu (passé composé)","(Ver) He visto, has visto, ha visto, hemos visto, habéis visto, han visto"
134,"Elles ont vu leurs amis","(Ver) Han visto a sus amigos"
135,"Vous avez entendu la nouvelle","Habéis oído la noticia"
136,"Nouvelle","Noticia"
137,"Information","Información"
138,"Avoir entendu (passé composé)","(Haber oído) he oído, has oído, ha oído, hemos oído, habéis oído, han oído"
139,"J\'ai entendu une belle chanson","He oído una bonita canción"
140,"Tu as pensé à moi","Has pensado en mí"
141,"Pensée","Pensamiento"
142,"Idée","Idea"
143,"Avoir pensé (passé composé)","(Haber pensado) he pensado, has pensado, ha pensado, hemos pensado, habéis pensado, han pensado"
144,"Nous avons pensé à une solution","Hemos pensado en una solución"
145,"Ils sont venus à la fête","Han venido a la fiesta"
146,"Fête","Fiesta"
147,"Célébration","Celebración"
148,"Être venu (passé composé)","(Haber venido) he venido, has venido, ha venido, hemos venido, habéis venido, han venido"
149,"Elle est venue nous voir","Ha venido a vernos"
150,"Vous êtes partis tôt","Habéis partido temprano"
151,"Départ","Partida"
152,"Arrivée","Llegada"
153,"Être parti (passé composé)","(Haber partido) he partido, has partido, ha partido, hemos partido, habéis partido, han partido"
154,"Je suis parti en vacances","He partido de vacaciones"
155,"Tu es resté à la maison","Te has quedado en casa"
156,"Séjour","Estancia"
157,"Visite","Visita"
158,"Être resté (passé composé)","(Haber quedado) me he quedado, te has quedado, se ha quedado, nos hemos quedado, os habéis quedado, se han quedado"
159,"Nous sommes restés ensemble","Nos hemos quedado juntos"
160,"Ils sont sortis hier soir","Han salido anoche"
161,"Sortie","Salida"
162,"Entrée","Entrada"
163,"Être sorti (passé composé)","(Haber salido) he salido, has salido, ha salido, hemos salido, habéis salido, han salido"
164,"Je suis sorti avec des amis","He salido con amigos"
165,"Tu es entré dans la maison","Has entrado en la casa"
166,"Porte d\'entrée","Puerta de entrada"
167,"Porte de sortie","Puerta de salida"
168,"Être entré (passé composé)","(Haber entrado) he entrado, has entrado, ha entrado, hemos entrado, habéis entrado, han entrado"
169,"Elle est entrée dans le bureau","Ha entrado en la oficina"
170,"Nous sommes montés en haut","Hemos subido arriba"
171,"Escalier","Escalera"
172,"Ascenseur","Ascensor"
173,"Être monté (passé composé)","(Haber subido) he subido, has subido, ha subido, hemos subido, habéis subido, han subido"
174,"Vous êtes montés au dernier étage","Habéis subido al último piso"
175,"Ils sont descendus au rez-de-chaussée","Han bajado a la planta baja"
176,"Rez-de-chaussée","Planta baja"
177,"Étage","Piso"
178,"Être descendu (passé composé)","(Haber bajado) he bajado, has bajado, ha bajado, hemos bajado, habéis bajado, han bajado"
179,"Je suis descendu prendre le petit-déjeuner","He bajado a desayunar"
180,"Tu as commencé un nouveau travail","Has comenzado un nuevo trabajo"
181,"Début","Comienzo"
182,"Fin","Fin"
183,"Avoir commencé (passé composé)","(Haber comenzado) he comenzado, has comenzado, ha comenzado, hemos comenzado, habéis comenzado, han comenzado"
184,"Nous avons commencé le projet","Hemos comenzado el proyecto"
185,"Elles ont fini leurs devoirs","Han terminado sus deberes"
186,"Devoir","Deber"
187,"Tâche","Tarea"
188,"Avoir fini (passé composé)","(Haber terminado) he terminado, has terminado, ha terminado, hemos terminado, habéis terminado, han terminado"
189,"J\'ai fini mon repas","He terminado mi comida"
190,"Tu as ouvert la fenêtre","Has abierto la ventana"
191,"Ouverture","Apertura"
192,"Fermeture","Cierre"
193,"Avoir ouvert (passé composé)","(Haber abierto) he abierto, has abierto, ha abierto, hemos abierto, habéis abierto, han abierto"
194,"Il a ouvert un nouveau magasin","Ha abierto una nueva tienda"
195,"Nous avons fermé la porte","Hemos cerrado la puerta"
196,"Clé","Llave"
197,"Serrure","Cerradura"
198,"Avoir fermé (passé composé)","(Haber cerrado) he cerrado, has cerrado, ha cerrado, hemos cerrado, habéis cerrado, han cerrado"
199,"Vous avez fermé le livre","Habéis cerrado el libro"
200,"Ils ont acheté une nouvelle voiture","Han comprado un coche nuevo"
201,"Je mangerai demain","(Comer) comeré mañana"
202,"Tu iras à l\'école","(Ir) irás a la escuela"
203,"Il parlera espagnol","(Hablar) hablará español"
204,"Nous aurons un chien","(Tener) tendremos un perro"
205,"Vous ferez un gâteau","(Hacer) haréis un pastel"
206,"Ils liront un livre","(Leer) leerán un libro"
207,"Avenir","Futuro"
208,"Projet","Proyecto"
209,"Manger (futur)","(Comer) comeré, comerás, comerá, comeremos, comeréis, comerán"
210,"Aller (futur)","(Ir) iré, irás, irá, iremos, iréis, irán"
211,"J\'ai acheté un cadeau","(Haber comprado) he comprado un regalo"
212,"Elle a vendu sa voiture","(Haber vendido) ha vendido su coche"
213,"Nous avons payé l\'addition","(Haber pagado) hemos pagado la cuenta"
214,"Cadeau","Regalo"
215,"Addition","Cuenta"
216,"Avoir acheté (passé composé)","(Haber comprado) he comprado, has comprado, ha comprado, hemos comprado, habéis comprado, han comprado"
217,"Avoir vendu (passé composé)","(Haber vendido) he vendido, has vendido, ha vendido, hemos vendido, habéis vendido, han vendido"
218,"Avoir payé (passé composé)","(Haber pagado) he pagado, has pagado, ha pagado, hemos pagado, habéis pagado, han pagado"
219,"Je recevrai un colis demain","(Recibir) recibiré un paquete mañana"
220,"Tu donneras une conférence","(Dar) darás una conferencia"
221,"Il prendra le train","(Tomar) tomará el tren"
222,"Colis","Paquete"
223,"Conférence","Conferencia"
224,"Train","Tren"
225,"Recevoir (futur)","(Recibir) recibiré, recibirás, recibirá, recibiremos, recibiréis, recibirán"
226,"Donner (futur)","(Dar) daré, darás, dará, daremos, daréis, darán"
227,"Prendre (futur)","(Tomar) tomaré, tomarás, tomará, tomaremos, tomaréis, tomarán"
228,"Nous avons reçu une invitation","Hemos recibido una invitación"
229,"Vous avez donné votre avis","Habéis dado vuestra opinión"
230,"Ils ont pris une décision","Han tomado una decisión"
231,"Invitation","Invitación"
232,"Avis","Opinión"
233,"Décision","Decisión"
234,"Avoir reçu (passé composé)","(Haber recibido) he recibido, has recibido, ha recibido, hemos recibido, habéis recibido, han recibido"
235,"Avoir donné (passé composé)","(Haber dado) he dado, has dado, ha dado, hemos dado, habéis dado, han dado"
236,"Avoir pris (passé composé)","(Haber tomado) he tomado, has tomado, ha tomado, hemos tomado, habéis tomado, han tomado"
237,"Je mettrai la table","(Poner) pondré la mesa"
238,"Tu enlèveras tes chaussures","(Quitar) te quitarás los zapatos"
239,"Elle trouvera une solution","(Encontrar) encontrará una solución"
240,"Chaussures","Zapatos"
241,"Solution","Solución"
242,"Mettre (futur)","(Poner) pondré, pondrás, pondrá, pondremos, pondréis, pondrán"
243,"Enlever (futur)","(Quitar) quitaré, quitarás, quitará, quitaremos, quitaréis, quitarán"
244,"Trouver (futur)","(Encontrar) encontraré, encontrarás, encontrará, encontraremos, encontraréis, encontrarán"
245,"Nous avons mis la table","Hemos puesto la mesa"
246,"Vous avez enlevé vos manteaux","Os habéis quitado los abrigos"
247,"Ils ont trouvé un trésor","Han encontrado un tesoro"
248,"Table","Mesa"
249,"Manteau","Abrigo"
250,"Trésor","Tesoro"
251,"Avoir mis (passé composé)","(Haber puesto) he puesto, has puesto, ha puesto, hemos puesto, habéis puesto, han puesto"
